0	﻿مقام	﻿مقام	﻿مقام	﻿مقام	O	_
12	اصل	اصل	اصل	اصل	A0	صفت	
13	۴۴	۴۴	۴۴	۴۴	Nu	عدد رقمی	
14	آمده_است	آمده_است	آمد	آمده_است	O	_
15	پیاده	پیاده	پیاده	پیاده	A0	صفت	
16	کنیم	کن|کن|کن|کن|کن	کرد	کن + یم|کن + یم|کن + ی + م|کن + ی + م|کن + یم	V+O|V+O|V+O|V+O|N2+V	فعل مضارع ساده+اول شخص جمع|فعل مضارع ساده+اول شخص جمع|فعل مضارع ساده+دوم شخص مفرد|فعل مضارع ساده+دوم شخص مفرد|اسم خاص مکان + فعل اول شخص جمع	
17	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
18	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
19	نهایت	نهایت|نه|نه	نهایت	نهایت|نه + ا + ی + ت|نه + ا + ی + ت	N1|O+O+O+O|N1+O+O+O	اسم|ریشه مضارع + ا + ی + ضمیر ملکی دوم شخص مفرد|اسم + ا + ی + ضمیر ملکی دوم شخص مفرد	
20	با	با	با	با	Pr	حرف اضافه	
21	الکترونیکی	الکترونیکی|الکترونیک|الکترونی	الکترونیک	الکترونیکی|الکترونیک + ی|الکترونی + ک + ی	A0|N1+O|A0+O+O	صفت|اسم + ی|صفت + ک + ی	
22	کردن	کرد	کردن	کرد + ن	V2+O	بن ماضی + ن	
23	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
24	ساماندهی	سامان‌دهی	ساماندهی	سامان‌دهی	N1	اسم	
25	مشخص	مشخص	مشخص	مشخص	A0	صفت	
26	،	،	،	،	Si	علامت	
27	با	با	با	با	Pr	حرف اضافه	
28	فساد	فساد	فساد	فساد	N1	اسم	
29	مقابله	مقابله|مقابل	مقابله	مقابله|مقابل + ه	N1|A0+O	اسم|صفت + ه	
30	کنیم	کن|کن|کن|کن|کن	کرد	کن + یم|کن + یم|کن + ی + م|کن + ی + م|کن + یم	V+O|V+O|V+O|V+O|N2+V	فعل مضارع ساده+اول شخص جمع|فعل مضارع ساده+اول شخص جمع|فعل مضارع ساده+دوم شخص مفرد|فعل مضارع ساده+دوم شخص مفرد|اسم خاص مکان + فعل اول شخص جمع	
31	چراکه	چراکه|چراکه|چرا|چر	چراکه	چراکه|چراکه|چرا + ک + ه|چر + ا + ک + ه	Ad|C1|N1+O+O|O+O+O+O	قید|حرف ربط گروهی|اسم + ک + ه|ریشه مضارع + ا + ک + ه	
32	فساد	فساد	فساد	فساد	N1	اسم	
33	،	،	،	،	Si	علامت	
34	اقتصاد	اقتصاد	اقتصاد	اقتصاد	N1	اسم	
35	را	را	را	را	Po	حرف اضافه پسین	
36	زمین‌گیر	زمین‌گیر	زمین‌گیر	زمین‌گیر	A0	صفت	
37	می‌کند	کن|کن|می|می	کرد	می + کن + د|می + کن + د|می + ک + ند|می + ک + ند	V+O|V+O|N1+O+V|N1+O+V	فعل حال اخباری+سوم شخص مفرد|فعل حال اخباری+سوم شخص مفرد|اسم + ک + فعل سوم شخص جمع|اسم + ک + فعل سوم شخص جمع	
38	.	.	.	.	Si	علامت	

0	امیدوارم	امیدوارم|امیدوار|امیدوار	امیدوار	امیدوارم|امیدوار + م|امیدوار + م	Ad|A0+O|A0+V	قید|صفت + ضمیر ملکی اول شخص مفرد|صفت + فعل اول شخص مفرد	
1	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
2	این	این|این	این	این|این	A1|N6	صفت اشاره|ضمیر اشاره	
3	کارها	کار	کار	کار + ها	N1+Pl	اسم + علامت جمع	
4	با	با	با	با	Pr	حرف اضافه	
5	همکاری	همکاری|همکار|کاری|کار|کار	همکار	همکاری|همکار + ی|هم + کاری|هم + کار + ی|هم + کار + ی	N1|N1+O|O+A0|O+N1+O|O+V1+O	اسم|اسم + ی|هم + صفت|هم + اسم + ی|هم + بن مضارع + ی	
6	دیگران	دیگران|دیگر|دی	دیگر	دیگران|دیگر + ان|دی + گر + ان	N5|Ad+O|N1+O+O	ضمیر فاعلی|قید + ان|اسم + گر + ان	
7	،	،	،	،	Si	علامت	
8	گام	گام	گام	گام	N1	اسم	
9	بلندی	بلندی|بلند|بلند|بلند|لند|بل	بلند	بلندی|بلند + ی|بلند + ی|بلند + ی|ب + لند + ی|بل + ند + ی	N1|A0+O|N1+O|N1+O|O+N1+O|N1+V+O	اسم|صفت + ی|اسم + ی|اسم + ی|ب + اسم + ی|اسم + فعل سوم شخص جمع + ی	
10	برداریم	بردار|بردار|بردار|برد	بردار	بردار + یم|بردار + ی + م|بردار + یم|برد + ار + یم	V+O|V+O|N1+V|O+O+V	فعل مضارع ساده+اول شخص جمع|فعل مضارع ساده+دوم شخص مفرد|اسم + فعل اول شخص جمع|ریشه ماضی + ار + فعل اول شخص جمع	
11	.	.	.	.	Si	علامت	

0	=======	=======	=======	=======	O	_
1	﻿مقام	﻿مقام	﻿مقام	﻿مقام	O	_
2	معظم	معظم	معظم	معظم	A0	صفت	
3	رهبری	رهبری|رهبر|ره|ره	رهبر	رهبری|رهبر + ی|ره + بر + ی|ره + بر + ی	N1|N1+O|V1+O+O|N1+O+O	اسم|اسم + ی|بن مضارع + بر + ی|اسم + بر + ی	
4	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
5	دیدار	دیدار|دید	دیدار	دیدار|دید + ار	N1|O+O	اسم|ریشه ماضی + ار	
6	رئیس	رییس	رئیس	رییس	N1	اسم	
7	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
8	مسئولان	مسئول	مسئول	مسئول	O	_
9	سازمان	سازمان|ساز|ساز	سازمان	سازمان|ساز + مان|ساز + مان	N1+O|V+O|N1+O	اسم+واجی ریشه: sAzmAn|فعل مضارع ساده+سوم شخص مفرد|اسم + ضمیر ملکی اول شخص جمع	
10	پدافند	پدافند	پدافند	پدافند	N1	اسم	
11	غیرعامل	عامل	غیرعامل	غیر + عامل	O+N1	غیر + اسم	
12	اظهار	اظهار	اظهار	اظهار	N1	اسم	
13	داشتند	داشت|داشت|داشت	داشت	داشت + ند|داشت + ند|داشت + ند	V+O|V5+V|N1+V	فعل ماضی ساده+سوم شخص جمع|فعل کمکی + فعل سوم شخص جمع|اسم + فعل سوم شخص جمع	
14	:	:	:	:	Si	علامت	
15	پدافند	پدافند	پدافند	پدافند	N1	اسم	
16	غیرعامل	عامل	غیرعامل	غیر + عامل	O+N1	غیر + اسم	
17	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
18	مقابل	مقابل|مقابل	مقابل	مقابل|مقابل	A0|N9	صفت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی	
19	تهاجم	تهاجم	تهاجم	تهاجم	N1	اسم	
20	دشمنان	دشمن	دشمن	دشمن + ان	A0+O	صفت + ان	
21	علمی	علمی|علم	علم	علمی|علم + ی	A0|N1+O	صفت|اسم + ی	
22	،	،	،	،	Si	علامت	
23	جدی	جدی|جد	جدی	جدی|جد + ی	A0|N1+O	صفت|اسم + ی	
24	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
25	همه‌جانبه	همه‌جانبه	همه‌جانبه	همه‌جانبه	A0	صفت	
26	باشد	باش|اشد	بود	باش + د|ب + اشد	V+O|O+A0	فعل مضارع ساده+سوم شخص مفرد|ب + صفت	
27	.	.	.	.	Si	علامت	

0	به	به|به	به	به|به	Pr|N1	حرف اضافه|اسم	
1	گزارش	گزارش|گزارش|گزار	گزارش	گزارش|گزارش|گزار + ش	N1|N9|V+O	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|فعل مضارع ساده+سوم شخص مفرد	
2	پایگاه	پایگاه|پای|پا|پا	پایگاه	پایگاه|پای + گاه|پا + ی + گاه|پا + ی + گاه	N1|N1+O|V1+O|N1+O	اسم|اسم + گاه|بن مضارع + گاه|اسم + گاه	
3	اطلاع‌رسانی	اطلاع‌رسانی	اطلاع‌رسانی	اطلاع‌رسانی	N1	اسم	
4	دفتر	دفتر	دفتر	دفتر	N1	اسم	
5	حفظ	حفظ	حفظ	حفظ	N1	اسم	
6	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
7	نشر	نشر	نشر	نشر	N1	اسم	
8	آثار	اثر	آثار	اثر	O	اسم مفرد جمع مکسر	
9	رهبر	رهبر|ره|ره	رهبر	رهبر|ره + بر|ره + بر	N1|V1+O|N1+O	اسم|بن مضارع + بر|اسم + بر	
10	معظم	معظم	معظم	معظم	A0	صفت	
11	انقلاب	انقلاب	انقلاب	انقلاب	N1	اسم	
12	،	،	،	،	Si	علامت	
13	حضرت	حضرت|حضر	حضرت	حضرت|حضر + ت	N1|N1+O	اسم|اسم + ضمیر ملکی دوم شخص مفرد	
14	آیت	آیت|آی	آیت	آیت|آی + ت	N1|V+O	اسم|فعل مضارع ساده+سوم شخص مفرد	
15	الله	الله	الله	الله	N1	اسم	
16	خامنه‌ای	خامنه‌ای|خامنه‌ای|خامنه	خامنه	خامنه‌ای|خامنه‌ای|خامنه + ای	N4|A0|N2+O	اسم فامیل|صفت|اسم خاص مکان + ای	
17	رهبر	رهبر|ره|ره	رهبر	رهبر|ره + بر|ره + بر	N1|V1+O|N1+O	اسم|بن مضارع + بر|اسم + بر	
18	معظم	معظم	معظم	معظم	A0	صفت	
19	انقلاب	انقلاب	انقلاب	انقلاب	N1	اسم	
20	اسلامی	اسلامی|اسلامی|اسلام	اسلام	اسلامی|اسلامی|اسلام + ی	A0|N4|N1+O	صفت|اسم فامیل|اسم + ی	
21	ظهر	ظهر|ظهر	ظهر	ظهر|ظهر	N1|N1	اسم|اسم	
22	امروز	امروز	امروز	امروز	N1	اسم	
23	(	(	(	(	Si	علامت	
24	یکشنبه	یکشنبه	یکشنبه	یکشنبه	N1	اسم	
25	۶	۶	۶	۶	Nu	عدد رقمی	
26	آبان	اب	آبان	اب + ان	N1+O	اسم + ان	
27	)	)	)	)	Si	علامت	
28	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
29	این	این|این	این	این|این	A1|N6	صفت اشاره|ضمیر اشاره	
30	دیدار	دیدار|دید	دیدار	دیدار|دید + ار	N1|O+O	اسم|ریشه ماضی + ار	
31	با	با	با	با	Pr	حرف اضافه	
32	اشاره	اشاره	اشاره	اشاره	N1	اسم	
33	به	به|به	به	به|به	Pr|N1	حرف اضافه|اسم	
34	اهمیت	اهمیت|اهم	اهمیت	اهمیت|اهم + یت	N1|A0+O	اسم|صفت + یت	
35	روزافزون	روزافزون	روزافزون	روزافزون	A0	صفت	
36	پدافند	پدافند	پدافند	پدافند	N1	اسم	
37	غیرعامل	عامل	غیرعامل	غیر + عامل	O+N1	غیر + اسم	
38	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
39	مقابله	مقابله|مقابل	مقابله	مقابله|مقابل + ه	N1|A0+O	اسم|صفت + ه	
40	با	با	با	با	Pr	حرف اضافه	
41	تهدیدهای	تهدید	تهدید	تهدید + ها + ی	N1+Pl+O	اسم + علامت جمع + ی	
42	نو	نو|نو	نو	نو|نو	V|A0	فعل امر مثبت|صفت	
43	شونده	شونده|شوند|شو	شونده	شونده|شوند + ه|شو + نده	A0|N1+O|V1+O	صفت|اسم + ه|بن مضارع + نده	
44	دشمنان	دشمن	دشمن	دشمن + ان	A0+O	صفت + ان	
45	،	،	،	،	Si	علامت	
46	تأکید	تأکید	تأکید	تأکید	N1	اسم	
47	کردند	کرد|کرد	کرد	کرد + ند|کرد + ند	V+O|N1+V	فعل ماضی ساده+سوم شخص جمع|اسم + فعل سوم شخص جمع	
48	:	:	:	:	Si	علامت	
49	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
50	مقابل	مقابل|مقابل	مقابل	مقابل|مقابل	A0|N9	صفت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی	
51	شیوه‌های	شیوه|شیو	شیوه	شیوه + ها + ی|شیو + ه + ها + ی	N1+Pl+O|V1+O+Pl+O	اسم + علامت جمع + ی|بن مضارع + ه + علامت جمع + ی	
52	پیچیده	پیچیده|پیچید	پیچیده	پیچیده|پیچید + ه	A0|O+O	صفت|ریشه ماضی + ه	
53	تهاجم	تهاجم	تهاجم	تهاجم	N1	اسم	
54	دشمنان	دشمن	دشمن	دشمن + ان	A0+O	صفت + ان	
55	،	،	،	،	Si	علامت	
56	پدافند	پدافند	پدافند	پدافند	N1	اسم	
57	غیرعامل	عامل	غیرعامل	غیر + عامل	O+N1	غیر + اسم	
58	نیز	نیز|آز	نیز	نیز|نی + آز	Ad|V	قید|فعل امر منفی	
59	باید	باید	باید	باید	V4	فعل وجه نما	
60	کاملا	کاملاً	کاملا	کاملاً	Ad	قید	
61	هوشیار	هوشیار|هوش	هوشیار	هوشیار|هوش + یار	A0|N1+O	صفت|اسم + یار	
62	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
63	جدی	جدی|جد	جدی	جدی|جد + ی	A0|N1+O	صفت|اسم + ی	
64	باشد	باش|اشد	بود	باش + د|ب + اشد	V+O|O+A0	فعل مضارع ساده+سوم شخص مفرد|ب + صفت	
65	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
66	به	به|به	به	به|به	Pr|N1	حرف اضافه|اسم	
67	صورت	صورت|صورت|صور	صورت	صورت|صورت|صور + ت	N1|N9|N1+O	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|اسم + ضمیر ملکی دوم شخص مفرد	
68	علمی	علمی|علم	علم	علمی|علم + ی	A0|N1+O	صفت|اسم + ی	
69	،	،	،	،	Si	علامت	
70	دقیق	دقیق	دقیق	دقیق	A0	صفت	
71	،	،	،	،	Si	علامت	
72	به‌روز	به‌روز|بهروز|روز	به‌روز	به‌روز|بهروز|به + روز	A0|N3|O+N1	صفت|اسم خاص اشخاص|به + اسم	
73	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
74	همه‌جانبه	همه‌جانبه	همه‌جانبه	همه‌جانبه	A0	صفت	
75	عمل	عمل	عمل	عمل	N1	اسم	
76	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
77	با	با	با	با	Pr	حرف اضافه	
78	هرگونه	هرگونه	هرگونه	هرگونه	A2	صفت مبهم	
79	نفوذ	نفوذ	نفوذ	نفوذ	N1	اسم	
80	مقابله	مقابله|مقابل	مقابله	مقابله|مقابل + ه	N1|A0+O	اسم|صفت + ه	
81	کند	کند|کن|کن	کند	کند|کن + د|کن + د	A0|V+O|V+O	صفت|فعل مضارع ساده+سوم شخص مفرد|فعل مضارع ساده+سوم شخص مفرد	
82	.	.	.	.	Si	علامت	

0	حضرت	حضرت|حضر	حضرت	حضرت|حضر + ت	N1|N1+O	اسم|اسم + ضمیر ملکی دوم شخص مفرد	
1	آیت	آیت|آی	آیت	آیت|آی + ت	N1|V+O	اسم|فعل مضارع ساده+سوم شخص مفرد	
2	الله	الله	الله	الله	N1	اسم	
3	خامنه‌ای	خامنه‌ای|خامنه‌ای|خامنه	خامنه	خامنه‌ای|خامنه‌ای|خامنه + ای	N4|A0|N2+O	اسم فامیل|صفت|اسم خاص مکان + ای	
4	توجه	توجه	توجه	توجه	N1	اسم	
5	مسئولان	مسئول	مسئول	مسئول	O	_
6	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
7	همه	همه|همه	همه	همه|همه	N1|A2	اسم|صفت مبهم	
8	بخشها	بخش|خش	بخش	بخش + ها|ب + خش + ها	N1+Pl|O+N1+Pl	اسم + علامت جمع|ب + اسم + علامت جمع	
9	به	به|به	به	به|به	Pr|N1	حرف اضافه|اسم	
10	اهمیت	اهمیت|اهم	اهمیت	اهمیت|اهم + یت	N1|A0+O	اسم|صفت + یت	
11	پدافند	پدافند	پدافند	پدافند	N1	اسم	
12	غیرعامل	عامل	غیرعامل	غیر + عامل	O+N1	غیر + اسم	
13	را	را	را	را	Po	حرف اضافه پسین	
14	لازم	لازم|زم	لازم	لازم|لا + زم	A0|O+N1	صفت|لا + اسم	
15	دانستند	دانست	دانست	دانست + ند	V+O	فعل ماضی ساده+سوم شخص جمع	
16	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
17	افزودند	افزود	افزود	افزود + ند	V+O	فعل ماضی ساده+سوم شخص جمع	
18	:	:	:	:	Si	علامت	
19	اگر	اگر	اگر	اگر	C0	حرف ربط	
20	مدیران	مدیر	مدیر	مدیر + ان	N1+O	اسم + ان	
21	کشور	کشور|کش	کشور	کشور|کش + ور	N1|V1+O	اسم|بن مضارع + ور	
22	اهمیت	اهمیت|اهم	اهمیت	اهمیت|اهم + یت	N1|A0+O	اسم|صفت + یت	
23	این	این|این	این	این|این	A1|N6	صفت اشاره|ضمیر اشاره	
24	مسئله	مسیل	مسئله	مسیل + ه	N1+O	اسم + ه	
25	را	را	را	را	Po	حرف اضافه پسین	
26	درک	درک|درک|در|در	درک	درک|درک|در + ک|در + ک	N1|N1|N1+O|N1+O	اسم|اسم|اسم + ک|اسم + ک	
27	نکنند	کن|کن	کرد	ن + کن + ند|ن + کن + ند	V+O|V+O	فعل حال التزامی منفی+سوم شخص جمع|فعل حال التزامی منفی+سوم شخص جمع	
28	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
29	پدافند	پدافند	پدافند	پدافند	N1	اسم	
30	غیرعامل	عامل	غیرعامل	غیر + عامل	O+N1	غیر + اسم	
31	به	به|به	به	به|به	Pr|N1	حرف اضافه|اسم	
32	طور	طور|طور	طور	طور|طور	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی	
33	شایسته	شایسته|شایست	شایسته	شایسته|شایست + ه	A0|O+O	صفت|ریشه ماضی + ه	
34	توسعه	توسعه	توسعه	توسعه	N1	اسم	
35	پیدا	پیدا	پیدا	پیدا	A0	صفت	
36	نکند	کن|کن|نک	کرد	ن + کن + د|ن + کن + د|نک + ند	V+O|V+O|N1+V	فعل حال التزامی منفی+سوم شخص مفرد|فعل حال التزامی منفی+سوم شخص مفرد|اسم + فعل سوم شخص جمع	
37	،	،	،	،	Si	علامت	
38	کشور	کشور|کش	کشور	کشور|کش + ور	N1|V1+O	اسم|بن مضارع + ور	
39	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
40	معرض	معرض	معرض	معرض	N1	اسم	
41	تهدیدهای	تهدید	تهدید	تهدید + ها + ی	N1+Pl+O	اسم + علامت جمع + ی	
42	بعضا	بعضاً	بعضا	بعضاً	Ad	قید	
43	غیرقابل	قابل	غیرقابل	غیر + قابل	O+A0	غیر + صفت	
44	جبران	جبران|جبر	جبران	جبران|جبر + ان	N1|N1+O	اسم|اسم + ان	
45	قرار	قرار|قرار	قرار	قرار|قرار	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی	
46	خواهد_گرفت	_گرفت	گرفت	_گرفت	O	_
47	،	،	،	،	Si	علامت	
48	بنابراین	بنابراین|برا|بر	بنابراین	بنابراین|ب + نا + برا + ین|ب + نا + بر + ا + ین	Ad|O+O+A0+O|O+O+O	قید|ب + نا + صفت + ین|ریشه مضارع + ا + ین	
49	مسئولان	مسئول	مسئول	مسئول	O	_
50	بخش‌های	بخش|خش	بخش	بخش + ها + ی|ب + خش + ها + ی	N1+Pl+O|O+N1+Pl+O	اسم + علامت جمع + ی|ب + اسم + علامت جمع + ی	
51	مختلف	مختلف	مختلف	مختلف	A0	صفت	
52	کشور	کشور|کش	کشور	کشور|کش + ور	N1|V1+O	اسم|بن مضارع + ور	
53	چه	چه|چه|چه	چه	چه|چه|چه	NA|C0|A0	ضمیر پرسشی|حرف ربط|صفت	
54	بخشهای	بخش|خش	بخش	بخش + ها + ی|ب + خش + ها + ی	N1+Pl+O|O+N1+Pl+O	اسم + علامت جمع + ی|ب + اسم + علامت جمع + ی	
55	نظامی	نظامی|نظام	نظام	نظامی|نظام + ی	A0|N1+O	صفت|اسم + ی	
56	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
57	چه	چه|چه|چه	چه	چه|چه|چه	NA|C0|A0	ضمیر پرسشی|حرف ربط|صفت	
58	بخشهای	بخش|خش	بخش	بخش + ها + ی|ب + خش + ها + ی	N1+Pl+O|O+N1+Pl+O	اسم + علامت جمع + ی|ب + اسم + علامت جمع + ی	
59	غیرنظامی	غیرنظامی|غیرنظام|نظامی|نظام	غیرنظامی	غیرنظامی|غیرنظام + ی|غیر + نظامی|غیر + نظام + ی	N1|A0+O|O+A0|O+N1+O	اسم|صفت + ی|غیر + صفت|غیر + اسم + ی	
60	،	،	،	،	Si	علامت	
61	باید	باید	باید	باید	V4	فعل وجه نما	
62	با	با	با	با	Pr	حرف اضافه	
63	پدافند	پدافند	پدافند	پدافند	N1	اسم	
64	غیرعامل	عامل	غیرعامل	غیر + عامل	O+N1	غیر + اسم	
65	همکاری	همکاری|همکار|کاری|کار|کار	همکار	همکاری|همکار + ی|هم + کاری|هم + کار + ی|هم + کار + ی	N1|N1+O|O+A0|O+N1+O|O+V1+O	اسم|اسم + ی|هم + صفت|هم + اسم + ی|هم + بن مضارع + ی	
66	کامل	کامل	کامل	کامل	A0	صفت	
67	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
68	لازم	لازم|زم	لازم	لازم|لا + زم	A0|O+N1	صفت|لا + اسم	
69	انجام	انجام|انجام	انجام	انجام|انجام	N1|V	اسم|فعل امر مثبت	
70	دهند	ده|ده	داد	ده + ند|ده + ند	V+O|N1+V	فعل مضارع ساده+سوم شخص جمع|اسم + فعل سوم شخص جمع	
71	.	.	.	.	Si	علامت	

0	ایران	ایران	ایران	ایران	N2	اسم خاص مکان	
1	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
2	اتحادیه	اتحادیه|اتحاد	اتحادیه	اتحادیه|اتحاد + یه	N1|N1+O	اسم|اسم + یه	
3	اروپا	اروپا	اروپا	اروپا	N2	اسم خاص مکان	
4	برای	برای|برا|بر	برای	برای|برا + ی|بر + ا + ی	Pr|A0+O|O+O+O	حرف اضافه|صفت + ی|ریشه مضارع + ا + ی	
5	رونمایی	رونمایی|رونما|رو	رونما	رونمایی|رونما + یی|رو + نما + یی	N1|N1+O|N1+O+O	اسم|اسم + یی|اسم + نما + یی	
6	از	از	از	از	Pr	حرف اضافه	
7	یک	یک	یک	یک	O	عدد حرفی	
8	تونل	تونل	تونل	تونل	N1	اسم	
9	مالی	مالی|مال|مال	مالی	مالی|مال + ی|مال + ی	A0|V+O|N1+O	صفت|فعل مضارع ساده+دوم شخص مفرد|اسم + ی	
10	ویژه‌	ویژه	ویژه	ویژه	A0	صفت	
11	،	،	،	،	Si	علامت	
12	با	با	با	با	Pr	حرف اضافه	
13	هدف	هدف	هدف	هدف	N1	اسم	
14	خنثی‌سازی	خنثی‌سازی	خنثی‌سازی	خنثی‌سازی	N1	اسم	
15	اثر	اثر|اثر	اثر	اثر|اثر	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی	
16	تحریم‌های	تحریم	تحریم	تحریم + ها + ی	N1+Pl+O	اسم + علامت جمع + ی	
17	آمریکا	امریکا	آمریکا	امریکا	N2	اسم خاص مکان	
18	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
19	هموار	هموار	هموار	هموار	A0	صفت	
20	شدن	شد	شدن	شد + ن	V3+O	فعل اسنادی + ن	
21	راه	راه|راه	راه	راه|راه	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی	
22	تجارت	تجارت|تجار	تجارت	تجارت|تجار + ت	N1|N1+O	اسم|اسم + ضمیر ملکی دوم شخص مفرد	
23	بین	بین|بین|بین|ین	بین	بین|بین|بین|ب + ین	V|A0|N9|O+N1	فعل امر مثبت|صفت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|ب + اسم	
24	کشورمان	کشور|کش	کشور	کشور + مان|کش + ور + مان	N1+O|V1+O+O	اسم + ضمیر ملکی اول شخص جمع|بن مضارع + ور + ضمیر ملکی اول شخص جمع	
25	با	با	با	با	Pr	حرف اضافه	
26	جهان	جهان|جهان|جه	جهان	جهان|جهان|جه + ان	N1|V|N1+O	اسم|فعل امر مثبت|اسم + ان	
27	آماده	آماده|آماد	آماده	آماده|آماد + ه	A0|N1+O	صفت|اسم + ه	
28	می‌شوند	شو	شد	می + شو + ند	V+O	فعل حال اخباری+سوم شخص جمع	
29	.	.	.	.	Si	علامت	

0	ایجاد	ایجاد	ایجاد	ایجاد	N1	اسم	
1	کانال	کانال	کانال	کانال	N1	اسم	
2	ویژه	ویژه	ویژه	ویژه	A0	صفت	
3	مالی	مالی|مال|مال	مالی	مالی|مال + ی|مال + ی	A0|V+O|N1+O	صفت|فعل مضارع ساده+دوم شخص مفرد|اسم + ی	
4	اروپا	اروپا	اروپا	اروپا	N2	اسم خاص مکان	
5	یکی	یکی|یک	یک	یکی|یک + ی	A2|O+O	صفت مبهم|عدد حرفی + ی	
6	از	از	از	از	Pr	حرف اضافه	
7	گام‌های	گام	گام	گام + ها + ی	N1+Pl+O	اسم + علامت جمع + ی	
8	عملی	عملی|عمل	عملی	عملی|عمل + ی	A0|N1+O	صفت|اسم + ی	
9	برای	برای|برا|بر	برای	برای|برا + ی|بر + ا + ی	Pr|A0+O|O+O+O	حرف اضافه|صفت + ی|ریشه مضارع + ا + ی	
10	حفظ	حفظ	حفظ	حفظ	N1	اسم	
11	برجام	برجا	برجا	برجا	O	_
12	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
13	بهره‌مندی	بهره‌مندی|بهره|هره	بهره‌مندی	بهره‌مندی|بهره + مند + ی|ب + هره + مند + ی	N1|N1+O+O|O+N1+O+O	اسم|اسم + مند + ی|ب + اسم + مند + ی	
14	ایران	ایران	ایران	ایران	N2	اسم خاص مکان	
15	از	از	از	از	Pr	حرف اضافه	
16	منافع	منفعت	منافع	منفعت	O	اسم مفرد جمع مکسر	
17	اقتصادی	اقتصادی|اقتصاد	اقتصاد	اقتصادی|اقتصاد + ی	A0|N1+O	صفت|اسم + ی	
18	آن	ان	آن	ان	Ab	اختصارات	
19	ازجمله	ازجمله	ازجمله	ازجمله	Ad	قید	
20	ایمن	ایمن	ایمن	ایمن	A0	صفت	
21	ماندن	ماند|مان	ماندن	ماند + ن|مان + د + ن	V2+O|V1+O+O	بن ماضی + ن|بن مضارع + د + ن	
22	مسیر	مسیر|مسیر	مسیر	مسیر|مسیر	N1|N2	اسم|اسم خاص مکان	
